INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20230812_1067,2023-08-12T20:52:32.255000,1.35237,B,13870,18.4,22.1,14 03 42.97,+54 18 44.6,47.63023988179335,320.9566515546652,6.788222691943421,6.266559134145013,0.2545489007265651,7.940066649830049,7.9135602275617725,0.6185622962199817,3.5587634678159628,0.08978084061001501,24,0.0,0.0
20230812_1068,2023-08-12T20:53:52.096000,1.35636,V,13870,18.4,22.1,14 03 42.97,+54 18 43.6,47.44513400188085,320.8652929587317,6.098004374925408,6.157885572494941,0.25415730385061774,7.181621177798706,7.408569584936027,0.7193653631435728,3.051450873885116,0.24024074053501876,36,0.0,0.0
20230812_1069,2023-08-12T20:55:12.084000,1.36040,R,13870,18.4,22.1,14 03 42.97,+54 18 43.6,47.259239554444136,320.7760915526974,5.646142652830887,5.525833804764117,0.29051661606405954,6.91377778244176,6.930484322977722,0.5230811696392941,3.033449762344272,-0.03840141942988432,42,0.0,0.0
20230812_1070,2023-08-12T20:56:31.835000,1.36448,I,13870,18.4,22.1,14 03 42.97,+54 18 43.6,47.073546380780456,320.68906325988854,4.523010139292988,5.131350719386726,0.21586929708192937,5.553036378924627,6.34946080137047,0.7149440327356382,2.5146027201318066,0.13323972505872816,42,1.5276473495522078,-0.1708728122897037
20230812_1071,2023-08-12T20:58:17.068000,1.36994,B,13870,18.4,22.1,14 03 42.98,+54 18 45.6,46.82785908238761,320.5778999540399,8.003226641549032,6.81599941840833,0.2581998622839574,9.349398781243998,8.190866899494358,0.6934467075567241,4.063414911184828,0.078207771637214,29,0.30804133786947613,0.05951755022590328
20230812_1072,2023-08-12T20:59:36.908000,1.37413,V,13870,18.4,22.1,14 03 42.98,+54 18 45.6,46.64118166994646,320.4951300812651,6.175215567700754,6.052965963578309,0.21710335780095757,6.753267829196195,6.827337688111772,0.3599617399854571,3.3101758331709075,0.23981524466526388,36,0.0,0.0
20230812_1073,2023-08-12T21:00:56.974000,1.37838,R,13870,18.4,22.1,14 03 42.98,+54 18 45.6,46.45365075862693,320.41398415894855,5.910366812968624,6.074808543023262,0.5844816881366839,6.629316071418462,7.075183925708168,0.8701423179836674,2.9364463424808407,0.1637490465534276,39,1.1795055090467326,-0.38237041566071756
20230812_1074,2023-08-12T21:02:19.904000,1.38284,I,13870,18.4,22.1,14 03 42.98,+54 18 45.6,46.25907678692124,320.33187859034336,4.699152819549141,5.386135018940802,0.36063913424753924,5.590412507969919,6.402511762492717,0.5181861998606534,2.439922922001998,0.06062695149038898,44,0.9881757778736292,-0.1218804262686922
20230812_1075,2023-08-12T21:04:04.950000,1.38856,B,13870,18.4,22.1,14 03 42.98,+54 18 45.6,46.01213702713433,320.23068506638845,6.291962986169571,6.333113310913713,0.38637328645200864,7.286766942949196,7.4686129489648145,0.3974580170225268,2.988438143731333,-0.012230107842765701,30,0.3874118875442018,-0.2873605773950701
20230812_1076,2023-08-12T21:05:24.744000,1.39296,V,13870,18.4,22.1,14 03 42.98,+54 18 47.6,45.824065187715114,320.15666128274023,7.58041542288843,6.789892824010953,0.5932816560686494,8.54839122510698,7.95164430476986,0.8814865749208334,3.360608899385593,0.31382786964953513,43,0.0,0.0
