INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20190803_1050,2019-08-03T20:41:11.836000,1.00127,OPEN,18874,25.9,13.0,16 09 46.28,+28 20 49.0,87.11083780231645,270.81688869040414,5.400504613012814,5.12696424892265,0.3642950207754314,5.555241102392603,5.246183379952892,0.3674201972761244,3.4113373204535025,0.0803807734209915,66,0.0,0.0
20190803_1051,2019-08-03T20:43:20.932000,1.00173,OPEN,18874,25.9,13.0,16 09 46.28,+28 20 49.0,86.63598697394038,270.93934739393,6.352853265885873,5.187265914937072,0.4308262353083556,6.592515185725381,5.409808631726344,0.40910246974148023,4.752859440861314,-0.41725860082936783,80,-0.08240765173196656,0.040864522134751044
20190803_1052,2019-08-03T20:45:29.943000,1.00224,OPEN,18874,26.1,13.0,16 09 47.28,+28 20 49.0,86.16513234705607,271.06225674111954,6.0565167777826545,5.201108778354637,0.36434779915071935,5.678137853875617,4.83050604357959,0.7784616436265512,4.113581270679226,0.13550186482585527,109,-0.3160839928301493,-0.07065953787425679
20190803_1053,2019-08-03T20:47:38.515000,1.00283,OPEN,18874,26.1,13.0,16 09 47.28,+28 20 49.0,85.69224446235124,271.1865254488869,6.21351949239001,5.092936492230756,0.42203754636943636,5.8099080950393525,4.723508788435849,0.6012944660629156,4.711598950810503,0.07467194590035986,128,0.013954954477451794,0.17915366799182902
20190803_1054,2019-08-03T20:49:48.403000,1.00350,OPEN,18874,26.1,13.0,16 09 47.28,+28 20 49.0,85.2145379674663,271.3127545487576,5.639115910715948,5.1028804214954615,0.3970195007994066,5.108511298779494,4.625741580510985,0.6125536526300914,3.7960106153880733,0.1969098772357395,146,-0.19807811212709475,-0.010254973530240932
20190803_1055,2019-08-03T20:51:58.582000,1.00423,OPEN,18874,26.0,13.0,16 09 47.28,+28 20 50.0,84.73579171767648,271.44281472655865,5.51353040299992,5.111203978896702,0.42440249592667456,5.224998161179538,4.693610380980357,0.6264086636263233,3.5197556472239024,0.15783118959307363,153,-0.06299371440227605,0.1039812465276982
20190803_1056,2019-08-03T20:54:07.390000,1.00503,OPEN,18874,26.0,13.0,16 09 48.28,+28 20 50.0,84.26577434023466,271.5677551177633,6.455148318950047,5.297129867093925,0.3997364746231442,6.017988814487774,4.885500241533572,0.5623382253289728,4.484732384967138,0.06612769047851544,173,-0.07637748586668613,0.034123292708874944
20190803_1057,2019-08-03T20:56:16.859000,1.00590,OPEN,18874,25.3,13.0,16 09 47.28,+28 20 50.0,83.7860226472125,271.69551833680424,6.423426882066824,5.3505082141572835,0.41655290728005934,6.728905089058155,5.426342374380924,0.5866055522356914,4.503953223570161,0.23978966293136697,165,-0.20292084574541447,0.03510816819418824
20190803_1058,2019-08-03T20:58:27.052000,1.00685,OPEN,18874,25.3,13.0,16 09 48.28,+28 20 50.0,83.3109719853984,271.8224683104829,5.8874493700885075,5.35073468589507,0.579187853547996,6.049399715542002,5.430259073489919,0.608326407868236,3.804595825128147,0.17757924199526043,174,0.08661805882112139,0.008234971154650793
20190803_1059,2019-08-03T21:00:35.910000,1.00786,OPEN,18874,25.5,13.0,16 09 48.28,+28 20 53.0,82.83722387055562,271.9559602043773,7.004938154440955,5.662331938674568,0.4932921903253913,7.047243621299602,5.713063365639599,0.6106977519237748,4.750292829346137,0.044152822733556585,178,-0.08390181345598921,-0.041390659467267145
