INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20230514_1063,2023-05-14T21:13:49.610000,1.06182,V,14099,2.9,12.5,12 43 30.89,+16 23 48.7,70.32888937617975,124.12129109714168,3.810078050293357,4.22551521925927,0.2952773666379427,5.68101347548731,6.124730558283115,0.27734381403051866,2.599754740735243,0.11243818962131155,26,0.0,0.0
20230514_1064,2023-05-14T21:15:55.938000,1.05918,V,14099,2.9,12.5,12 43 23.88,+16 23 48.7,70.7323474326633,125.17410106507828,3.4207597245681685,4.01485290006125,0.4898478091526446,4.242675132840621,5.03358029746225,0.543242453625095,2.294131939639629,-0.10804670215607641,27,0.0,0.0
20230514_1067,2023-05-14T21:39:14.420000,1.03729,n68Halpha,14133,3.4,12.9,12 43 22.88,+16 23 51.7,74.57175854028692,139.01788204717795,5.546861466718834,5.236503065023642,0.482437479330291,6.785979408688002,5.63341025754012,0.9884789477651825,2.9500290149558768,-0.0988586886491573,28,0.0,0.0
20230514_1068,2023-05-14T21:57:19.169000,1.02716,V,14133,5.5,12.9,12 43 23.88,+16 23 49.7,76.7791455453642,154.2379864272186,5.76362062371485,5.352865896987642,0.5531364149625002,6.084268721997157,5.6287035995160455,0.3406225660864566,3.3923287853029316,-0.3574408605158708,46,0.0,0.0
20230514_1069,2023-05-14T22:12:38.679000,1.02300,R,14133,4.9,12.3,12 43 24.89,+16 23 51.7,77.81480864794524,170.37871888663773,6.711208585956658,6.792913106777796,0.8973014701651758,6.64368423841789,6.171103776687511,1.5405673477947337,2.8443782402294877,0.06450413367253502,56,0.0,0.0
20230514_1070,2023-05-14T22:28:00.983000,1.02277,I,14133,3.6,11.9,12 43 32.89,+16 24 23.7,77.87606122697343,187.85748987328876,6.28581760302793,6.424402208959357,1.0838648384063898,6.444715807883803,5.804319258888771,0.9319414688234655,3.0536255972784705,0.32981595112297235,52,0.0,0.0
20230514_1071,2023-05-14T22:46:01.471000,1.02756,n68Halpha,14120,7.6,12.4,12 43 36.90,+16 24 47.7,76.68930978825892,206.8154245292089,6.325651032994522,5.540247930140022,0.5713235447132492,7.429208237773392,5.996497998520605,0.18819426732051703,4.173650843990159,0.005696243700795818,23,0.0,0.0
20230514_1072,2023-05-14T23:04:04.498000,1.03801,V,14120,15.7,12.5,12 43 37.90,+16 24 51.7,74.4331511697407,221.76537078861782,6.465456136102741,5.879410310210963,0.3860008749583299,7.371783222884076,6.356533218623071,0.25764291642152237,3.6262579010540748,-0.18169413510936713,47,0.0,0.0
20230514_1073,2023-05-14T23:19:24.559000,1.05153,R,14120,11.6,12.4,12 43 38.90,+16 24 52.6,71.97373292343042,231.30008991459846,5.240561982150838,4.632022806035334,0.5859210783766082,6.476264231388247,5.6478225967244615,0.8369106193814844,3.3114094256126054,0.1281173519533245,79,0.0,0.0
20230514_1074,2023-05-14T23:34:45.296000,1.06961,I,14120,10.3,12.3,12 43 38.90,+16 24 56.6,69.19742855411359,238.6464403197099,4.693740772580858,4.543078287760894,0.29006997821911984,5.774663197756686,5.576991657278553,0.3525965709508636,3.1811066930423,0.04492137120122244,70,0.0,0.0
