INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20241212_1129,2024-12-12T21:29:22.710000,1.83879,V,10228,57.8,1.2,05 02 26.30,-05 21 07.0,32.85282698118924,118.22546936926813,6.9542300027689805,5.562774055738242,0.4004490037323283,6.80319408098552,5.696730660943753,0.4406485003305347,4.99999999767415,-0.5811126622924992,60,0.0,0.0
20241212_1130,2024-12-12T21:33:26.850000,1.80086,R,10228,59.6,1.3,05 02 26.30,-05 21 08.0,33.64112594418749,118.99123813156683,6.522577564292942,5.357304456864226,0.30333879506263095,6.921916197693214,5.74328459208638,0.4562108925920487,4.678601006247674,-0.18620876042422627,57,-0.3090689425784876,-0.13841546259756252
20241212_1131,2024-12-12T21:36:18.243000,1.77550,I,10228,58.9,1.4,05 02 26.30,-05 21 09.0,34.19098382114438,119.53823088259361,6.071545691582465,4.9628789327151335,0.493281436694736,6.78538918675331,5.479823997790995,0.5400288396099588,4.116806021790175,-0.2459063701269736,74,-0.48318767661767287,-0.5387768433580163
20241212_1133,2024-12-12T21:46:53.269000,1.68996,R,10228,59.9,1.4,05 02 27.30,-05 21 12.0,36.198427355653514,121.63216861080289,7.027566536143713,5.835084075227115,0.2928822349215565,6.902808060691477,5.87573970784185,0.5713132972379524,4.465090944701661,0.07473840553991494,54,-0.01265955749922614,-0.13030234917821326
20241212_1134,2024-12-12T21:50:01.675000,1.66669,I,10228,62.4,1.4,05 02 26.30,-05 21 13.0,36.789418977995346,122.28040823590705,6.848085722120568,5.629847428706541,0.32893821974505233,7.387664522769396,6.036795499574563,0.413869778371561,4.503396308172729,-0.5148977088346105,55,-0.3998511710166215,-0.3772999067192609
20241212_1135,2024-12-12T21:59:35.042000,1.60213,V,10228,62.9,1.2,05 02 28.30,-05 21 12.9,38.54646593023277,124.30305831181325,6.7923504931468806,5.862070106044894,0.39382919046493203,6.925465356242632,5.797226478671528,0.377632105784909,4.533108870443115,-0.18640807457170766,51,0.0,0.0
20241212_1136,2024-12-12T22:02:27,1.58413,R,10228,62.9,1.2,05 02 27.30,-05 21 14.9,39.069690166193816,124.93687500529097,6.063558874908647,5.216395238572034,0.3283833565286205,6.461593865204182,5.421544108731805,0.303314935704206,4.442873651703701,-0.17219529641109071,55,0.0,0.0
20241212_1137,2024-12-12T22:04:28.791000,1.57185,I,10228,63.4,1.2,05 02 27.30,-05 21 14.9,39.43596585259391,125.38895175004801,6.506332759084115,5.440954023740665,0.4131489739123424,7.0379297433691,5.6848210475222185,0.4592594993160617,4.999999656474806,-0.6202292203793879,57,0.0,0.0
20241212_1138,2024-12-12T22:07:42.504000,1.55298,V,10228,63.8,1.1,05 02 27.30,-05 21 15.9,40.01408591824515,126.11891583828717,6.899977436069118,5.781330761354146,0.48295569759352475,7.1752643339941615,5.955191571956194,0.3488087747457129,4.9409575167036905,-0.032101777468248126,55,0.0,0.0
20241212_1139,2024-12-12T22:10:35.109000,1.53680,R,10228,63.8,1.1,05 02 27.30,-05 21 15.9,40.52483938932425,126.78039074678827,6.216726553641614,5.302469342465006,0.27441733976701954,6.594515337949071,5.589943258187059,0.27000211912045646,4.206346794524157,-0.07078471643491757,56,0.0,0.0
20241212_1140,2024-12-12T22:12:35.062000,1.52591,I,10228,63.8,1.1,05 02 27.30,-05 21 16.9,40.87699617959588,127.24675095683348,6.181655589610237,5.055660521471038,0.4612391855817979,6.852993911905433,5.545149480781509,0.32150206170362594,4.585361540168433,-0.6174572371896114,64,0.0,0.0
20241212_1141,2024-12-12T22:15:49.848000,1.50889,V,10251,63.8,1.1,05 02 28.30,-05 21 16.9,41.4415904616913,128.01110830489742,7.124029847450128,6.113081373774466,0.43286376959956296,6.9463004041811285,6.143719816813096,0.3742023480455936,4.185089061908604,-0.3465631584988786,45,0.0,0.0
20241212_1142,2024-12-12T22:18:42.103000,1.49426,R,10251,63.8,1.1,05 02 27.30,-05 21 17.9,41.94116631822237,128.70683142941465,7.984365419483784,6.92594772131961,1.229829403723067,7.695568365554516,6.132545703705935,1.051206515462555,4.999999999997587,-2.650768310358732,42,0.0,0.0
20241212_1143,2024-12-12T22:20:42.516000,1.48440,I,10251,63.5,1.0,05 02 27.30,-05 21 17.9,42.28564841264131,129.19708555345846,6.962728935832755,6.3759055474161,1.286419698812546,7.188326215206088,5.668642810327393,1.1291756250399354,4.999999999997078,0.1556245159309042,60,0.0,0.0
20241212_1144,2024-12-12T22:23:57.310000,1.46899,V,10233,63.8,1.1,05 02 27.30,-05 21 19.9,42.83738943288553,130.002909118977,7.519583381652418,6.759712689478354,1.2133496314976853,7.490647327569398,5.943891522949659,1.1966968126529007,4.75296111542614,-2.7377730076585847,57,0.0,0.0
20241212_1145,2024-12-12T22:26:49.143000,1.45589,R,10233,63.8,1.1,05 02 27.30,-05 21 18.9,43.3192382028759,130.72583184193266,6.775671534804836,5.830208380680197,0.6876488004904786,7.018947774024182,5.665152935154749,0.7553024322323711,4.99999999999462,-1.184475549953549,55,0.0,0.0
20241212_1146,2024-12-12T22:28:51.021000,1.44698,I,10233,62.4,1.2,05 02 28.30,-05 21 20.9,43.65450786914288,131.2424272682963,6.522817034472011,5.381978134149678,0.756759463271881,6.55164377945666,5.291421044393653,0.7734697250246612,4.999999999998688,0.30051441156555864,75,0.0,0.0
20241212_1147,2024-12-12T22:32:06.203000,1.43304,V,10233,59.7,1.4,05 02 28.30,-05 21 19.9,44.19110845471245,132.0884972739621,6.708021865215219,5.600318943895468,0.6586433623560533,7.065160043385875,5.838571766408725,0.6955681353316931,4.999999999983988,-1.2009221890240336,55,0.0,0.0
20241212_1148,2024-12-12T22:34:57.423000,1.42128,R,10233,59.7,1.4,05 02 28.30,-05 21 19.9,44.65574866499834,132.84443828883784,7.195138860557978,5.756895104530521,0.4535079423060697,6.6794388496895785,5.668832829007144,0.8067675648351518,4.999999999993168,0.28159260777222855,54,0.0,0.0
20241212_1149,2024-12-12T22:36:58.561000,1.41322,I,10233,59.7,1.4,05 02 28.30,-05 21 21.9,44.98062435665248,133.38754566156123,6.659179852755887,5.558864793918723,0.7186764402541899,6.513853574133369,5.272025948166459,0.6665479733834694,4.999999999998794,0.11321251300634261,73,0.0,0.0
20241212_1150,2024-12-12T22:40:13.605000,1.40067,V,10233,60.0,1.5,05 02 28.30,-05 21 20.9,45.4984442019841,134.2747142239703,7.01873079479645,5.729208982495608,0.7528729754831156,6.971740954652142,5.584581122882087,0.8742602481779214,4.999999999999356,0.02870578994674293,62,0.0,0.0
20241212_1151,2024-12-12T22:43:05.915000,1.39002,R,10233,60.0,1.5,05 02 28.30,-05 21 22.9,45.94877861865593,135.073594519432,7.5415509337071525,6.042625753303792,0.242401366010232,7.42792711900442,5.949554365734981,0.48252695004698065,4.999999999747629,-1.0765627819062218,51,0.0,0.0
20241212_1152,2024-12-12T22:45:05.968000,1.38282,I,10233,60.5,1.6,05 02 28.30,-05 21 21.9,46.25933911550359,135.63771233983238,7.424517031888509,6.193109238458578,0.38191350782457256,8.170821545156954,6.658690030268666,0.2501107308393635,4.670671870310479,-0.7426102086166813,41,0.0,0.0
20241212_1153,2024-12-12T22:48:21.302000,1.37145,V,10233,59.4,1.6,05 02 27.30,-05 21 21.9,46.760101172588165,136.57525106998963,8.157567924496474,7.308129841954779,0.5121068131688746,8.180483306753073,7.270192429215929,0.6634575477605242,3.9611993842186046,-0.8360064017202443,35,0.0,0.0
20241212_1154,2024-12-12T22:51:12.268000,1.36198,R,10233,59.4,1.6,05 02 28.30,-05 21 20.9,47.18684190138636,137.40152605131252,8.44263050104078,7.7556441765609465,0.2049287050953712,9.205466604754559,8.644527042995703,0.17406506558182855,3.5153733058260417,-0.5989490585152606,24,0.0,0.0
20241212_1155,2024-12-12T22:53:13.004000,1.35548,I,10233,59.4,1.5,05 02 28.30,-05 21 22.9,47.485320214456415,137.99761746309645,8.081523758304854,7.282788322719671,0.6565745156327569,8.631486327299944,7.642082163028068,0.5161847015485224,3.7953048327188696,-1.1108675443807885,33,0.0,0.0
20241212_1156,2024-12-12T22:56:27.782000,1.34534,V,10233,59.4,1.5,05 02 28.30,-05 21 21.9,47.9604768644112,138.9733097723296,7.783894357913297,6.918758718564444,0.4183314223879435,8.031799927561195,7.263801754314822,0.566339958584515,4.154339764459436,-0.7530953819771024,37,0.0,0.0
