INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20241014_1042,2024-10-14T20:36:22.228000,1.77154,n40Halpha,12601,12.5,12.0,01 42 13.59,+51 34 31.5,34.27851337343246,44.627969573664146,9.999999999999998,15.328418730817592,11.167501250346556,9.999999999999998,15.328418730817592,9.78853940419673,1.5000000000000002,0.24621499090152588,246,0.0,0.0
20241014_1043,2024-10-14T20:46:38.003000,1.70318,n40Halpha,12601,7.0,11.9,01 42 13.59,+51 34 27.6,35.87122645177569,44.71790818365836,9.999999999999998,15.328418730817592,11.214272408205069,9.999999999999998,15.328418730817592,9.926179797046363,1.5000000000000002,0.27572800929364133,291,-0.025257976733992566,-0.007514314426713099
20241014_1044,2024-10-14T20:56:53.562000,1.64106,n40Halpha,12601,23.9,11.7,01 42 13.60,+51 34 20.5,37.46499396598043,44.74191496464163,9.999999999999998,15.328418730817592,11.460655240211146,9.999999999999998,15.328418730817592,10.369423120643962,1.5000000000000002,0.22137485561238385,290,-0.007633616271433312,-0.019546813905496493
20241014_1045,2024-10-14T21:07:08.980000,1.58450,n40Halpha,12601,37.6,11.7,01 42 13.60,+51 34 18.6,39.05811296668445,44.692830094413814,9.999999999999998,15.328418730817592,11.12655868729853,9.999999999999998,15.328418730817592,9.926255181433634,1.5000000000000002,0.28107014862707075,332,6.834199372860894e-06,-0.04918658730466359
20241014_1046,2024-10-14T21:17:24.384000,1.53291,n40Halpha,12601,41.1,11.6,01 42 13.60,+51 34 13.6,40.6488472174036,44.56871798945974,9.999999999999998,15.328418730817592,11.036576480480147,9.999999999999998,15.328418730817592,9.86042648003865,1.5000000000000002,0.23892710276866044,293,0.03550375683088078,-0.07905337576452712
20241014_1047,2024-10-14T21:27:41.938000,1.48564,n40Halpha,12601,38.8,11.5,01 42 13.60,+51 34 08.6,42.24053266659644,44.36211292878568,9.999999999999998,15.328418730817592,11.184495025318665,9.999999999999998,15.328418730817592,10.292205826270045,1.5000000000000002,0.23331434977378884,344,0.046225124890962435,-0.10713187232069209
20241014_1048,2024-10-14T21:37:57.555000,1.44266,n40Halpha,12601,32.9,11.3,01 42 14.60,+51 34 06.6,43.81752892824697,44.067527819926255,9.999999999999998,15.328418730817592,11.2672857932909,9.999999999999998,15.328418730817592,10.400998695306573,1.5000000000000002,0.2106633358668079,326,0.0689794588247994,-0.10255057523067308
20241014_1049,2024-10-14T21:48:13.225000,1.40328,n40Halpha,12601,31.8,11.2,01 42 14.60,+51 34 01.6,45.38770327192118,43.678669981982935,9.999999999999998,15.328418730817592,11.520766320010312,9.999999999999998,15.328418730817592,10.676616897280333,1.5000000000000002,0.23379818715728126,356,0.03141196595030397,-0.1862612469955077
20241014_1050,2024-10-14T21:58:28.482000,1.36729,n40Halpha,12601,12.6,10.8,01 42 14.60,+51 33 59.6,46.9441237127791,43.186130055056,9.999999999999998,15.328418730817592,10.827666686416311,9.999999999999998,15.328418730817592,10.00553266752058,1.5000000000000002,0.24451567985291786,373,0.09659342965471114,-0.15184085991411395
20241014_1051,2024-10-14T22:08:44.444000,1.33439,n40Halpha,12601,52.6,10.8,01 42 15.60,+51 33 55.6,48.484209438947055,42.58309866249518,9.999999999999998,15.328418730817592,10.949064069467251,9.999999999999998,15.328418730817592,10.141208501460078,1.5000000000000002,0.26319694823705553,367,0.0984228013553934,-0.21862220985977865
20241014_1052,2024-10-14T22:19:00.329000,1.30423,n40Halpha,12601,60.4,10.7,01 42 14.60,+51 33 52.6,50.00969151935637,41.85581465391456,9.999999999999998,15.328418730817592,10.893460723084122,9.999999999999998,15.328418730817592,10.143581542617078,1.5000000000000002,0.26003867750457244,373,0.11480539927244422,-0.2575963175622192
20241014_1053,2024-10-14T22:29:16.001000,1.27683,n40Halpha,12601,65.7,10.6,01 42 16.59,+51 33 50.6,51.50397981018405,40.99976715758288,9.999999999999998,15.328418730817592,10.873238547732152,9.999999999999998,15.328418730817592,10.186232939779213,1.5000000000000002,0.2534373167237496,384,0.11042867405857851,-0.2679283746329029
20241014_1054,2024-10-14T22:39:32.065000,1.25171,n40Halpha,12601,76.3,10.4,01 42 15.60,+51 33 50.6,52.97845467419248,39.99307499640247,9.999999999999998,15.328418730817592,11.063890381494515,9.999999999999998,15.328418730817592,10.25141227014413,1.5000000000000002,0.28311097791409573,368,0.14560065458597593,-0.3155977671938008
20241014_1055,2024-10-14T22:49:47.739000,1.22891,n40Halpha,12601,79.7,10.4,01 42 15.60,+51 33 48.6,54.41705298196324,38.831212847375575,9.999999999999998,15.328418730817592,10.714042345102602,9.999999999999998,15.328418730817592,10.09028668285392,1.5000000000000002,0.23684743242906584,390,0.2021852510493054,-0.32313813576851136
20241014_1056,2024-10-15T03:00:55.696000,1.16396,n6[OIII],12601,73.1,10.7,01 42 21.58,+51 34 07.7,59.18652630466532,326.8379069110789,9.999999999999998,15.328418730817592,7.813060488702812,9.999999999999998,15.328418730817592,3.8506279630513376,1.5000000000000002,0.15924773968044895,468,0.03782405391284556,0.1265955270111813
20241014_1057,2024-10-15T03:11:11.913000,1.17977,n6[OIII],12601,73.5,10.6,01 42 23.57,+51 34 09.7,57.919388771195706,324.9946190571528,9.999999999999998,15.328418730817592,9.13421879879876,9.999999999999998,15.328418730817592,8.980839062372368,1.5000000000000002,0.1918196094659455,457,0.12506628874907438,-0.5057317392118612
20241014_1058,2024-10-15T03:21:27.973000,1.19746,n6[OIII],12601,73.2,10.4,01 42 22.57,+51 34 09.7,56.59022077676377,323.354491587918,9.999999999999998,15.328418730817592,8.724705145730162,9.999999999999998,15.328418730817592,8.81326151853843,1.5000000000000002,0.18797577130635376,435,-0.22302503716219782,-0.5719873224909725
20241014_1059,2024-10-15T03:31:43.932000,1.21703,n6[OIII],12601,72.4,10.5,01 42 22.57,+51 34 11.7,55.21429898117582,321.91485872536236,9.999999999999998,15.328418730817592,3.282503391789824,9.999999999999998,15.328418730817592,3.497222910040991,1.5000000000000002,0.13588071427823203,444,-0.33011506345400904,-0.22694567691266457
20241014_1060,2024-10-15T03:41:59.186000,1.23858,n6[OIII],12601,63.0,11.0,01 42 23.57,+51 34 14.7,53.800281862766695,320.6599327854688,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,8.526512829121202e-14,1.5000000000000002,-0.6627591770079916,421,-0.11624121913369118,0.016675176897716484
20241014_1061,2024-10-15T03:52:14.353000,1.26236,n6[OIII],12601,66.9,10.9,01 42 22.57,+51 34 18.7,52.345888555238425,319.56760817792303,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,-0.031037018432496434,427,-0.4192348463144174,-0.40078743637101455
20241014_1062,2024-10-15T04:02:29.427000,1.28838,n6[OIII],12601,62.4,10.9,01 42 23.57,+51 34 20.7,50.86624733340724,318.6298381626588,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,0.11194412237900239,472,0.48923673106658816,0.24387327853831473
20241014_1063,2024-10-15T04:12:44.622000,1.31700,n6[OIII],12601,39.6,11.8,01 42 22.57,+51 34 21.7,49.355794836020934,317.82788379303645,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,0.13898061324399502,521,-0.052542005634643375,-0.7441511046854139
20241014_1064,2024-10-15T04:23:00.108000,1.34823,n6[OIII],12601,34.9,12.6,01 42 23.57,+51 34 23.7,47.82793996630796,317.1560630095717,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,0.09596462685289076,640,-0.2550588779346504,-0.061633058396455456
