INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20250412_1121,2025-04-12T20:27:52.664000,1.77677,SDSSr,9349,47.3,3.1,05 09 25.96,+05 41 42.6,34.16355800748842,256.79327796453373,7.973654317353068,7.652120055109267,0.25297105751627136,8.981788997382608,8.603019084907476,0.47178656804171126,3.3012332693364907,0.8316912419779923,56,0.0,0.0
20250412_1122,2025-04-12T20:31:37.826000,1.81418,SDSSg,9349,47.3,3.1,05 09 26.96,+05 41 44.6,33.360084425143526,257.3611487003508,7.147941121134052,6.969063699433278,0.1547743440728384,8.017853455439784,8.026114891595158,0.4803768422581758,3.1820580601814914,0.5679111983150088,42,0.021853098850834612,-0.7148713209645257
20250412_1123,2025-04-12T20:39:26.014000,1.13565,SDSSg,9349,53.7,2.4,06 50 45.89,+25 02 45.0,61.67783551211454,270.762463412588,8.802828767183641,7.6244026680868595,0.7214271296025423,8.795806847799078,7.808325281128804,0.7360606010167761,3.8667394319891493,0.9690211837365423,162,0.0,0.0
20250412_1124,2025-04-12T20:45:17.053000,1.14987,SDSSr,9349,73.3,1.6,06 50 45.89,+25 02 48.0,60.38690464282657,271.4151543079056,8.429398147910415,7.748502931097404,0.7913934947641232,8.209884446071122,7.609508716971299,0.9194662498278614,3.6436457356909444,-0.019643157498986926,234,-0.0895315926247406,0.22112061439290095
20250412_1125,2025-04-12T20:50:53.518000,1.16439,SDSSi,9349,74.1,0.9,06 50 45.89,+25 02 48.0,59.149708685633435,272.01800664892096,7.2563266570469995,6.280741152358969,0.9060655519734677,7.230579400130163,6.184709075583918,0.7264293664267241,4.111491657813748,0.1260262411171226,422,-0.4746382392548421,0.24880765133122895
20250412_1126,2025-04-12T21:10:57.101000,1.13308,SDSSg,9350,28.2,3.3,07 19 18.58,+33 06 54.6,61.921025310007074,287.9012884433902,7.072383276681725,5.798807432484577,0.43707002428054764,7.302374498819363,6.101214580208094,0.45821900078756617,4.612912079128266,0.4896858190265464,130,0.0,0.0
20250412_1127,2025-04-12T21:20:29.577000,1.15524,SDSSr,9350,26.3,3.4,07 19 19.58,+33 06 56.6,59.92024482107967,287.8732634934788,7.279025628990899,5.8882514325719395,0.42150735526949656,7.314898522662188,6.108797844286807,0.47639615441852534,4.903614388892551,0.4845035608998124,184,-0.20543543567568304,0.23432531969694811
20250412_1128,2025-04-12T21:32:25.485000,1.47864,I,9350,27.2,3.2,07 21 58.97,+71 19 57.4,42.48769760269363,344.92430066281105,6.247476028140887,5.649177943032918,0.35465346104006024,6.429185963526812,5.799381296939732,0.3341534673647706,3.758900915004437,0.012454119681303505,99,0.0,0.0
20250412_1129,2025-04-12T21:42:17.903000,1.20911,I,9350,41.1,2.2,07 38 06.49,+17 42 05.8,55.759307375511106,259.67417174787124,7.808085448389194,6.424770439731168,0.6335981653256741,7.733492055236148,6.48619638791262,0.40991950686594514,4.2833593493414535,0.3128118793914626,223,0.0,0.0
20250412_1130,2025-04-12T21:47:01.140000,1.22407,SDSSg,9350,40.8,2.2,07 38 08.49,+17 42 07.9,54.74039412916142,260.489048954554,8.501916861955307,6.857261907422999,0.6155244035889647,8.334702174183114,6.833829284328017,0.6337049274276252,4.576256543469668,0.6640709657187474,115,0.2667864961123728,-0.48771165110101267
20250412_1131,2025-04-12T21:51:20.941000,1.23868,SDSSr,9350,40.8,2.2,07 38 07.49,+17 42 07.8,53.79318518453502,261.21759201879996,8.347107736773436,7.185886984092675,0.7703223506428474,7.991933527777987,6.806502513760604,0.4787511924160812,4.214545635796681,-0.006062165257184736,161,0.19998462289388955,-0.18174119306652575
20250412_1132,2025-04-12T21:55:00.982000,1.25156,SDSSi,9350,48.0,2.0,07 38 07.49,+17 42 09.8,52.99280213108176,261.8150554600533,8.532442882152957,7.090876981333095,0.9269301062437902,7.887254028157479,6.34240122113882,0.7480303047186112,4.560791279111229,0.05591081744138117,218,-0.19073177530058275,-0.24537277355365542
20250412_1133,2025-04-12T22:06:07.166000,1.10921,SDSSi,9350,57.2,1.7,08 30 52.32,+24 10 44.3,64.33668422266308,267.13328282287176,9.721793244360349,8.003989878162582,0.7795764921186006,7.740064877641647,6.678279796115907,0.42092252281666553,4.109054738257827,0.05465726655623847,100,0.0,0.0
