INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20251125_1011,2025-11-25T20:13:03.446000,1.54448,V,10351,68.4,6.5,01 00 39.96,-15 56 34.6,40.28167705542141,149.51619364171816,9.999999999999998,15.328418730817592,0.0,9.999999999999998,15.328418730817592,0.0,1.5000000000000002,-314.47813021731713,1,0.0,0.0
20251125_1015,2025-11-25T20:22:50.880000,1.17772,B,10351,67.7,6.6,01 55 07.26,+43 46 01.9,58.07345799291531,51.319094676509735,4.786746846940192,5.613416451509135,0.17124773168307517,5.8327992392342605,6.5744816587321555,0.2872297982122278,2.387082453257826,0.4748932729836297,4,0.0,0.0
20251125_1016,2025-11-25T20:23:41.854000,1.17586,V,10351,67.7,6.6,01 55 07.26,+43 46 01.9,58.21975254433445,51.23125648102774,6.928764705289073,5.804200047459462,0.19693465835422597,8.845140037068704,7.261096987645496,0.34396639309733334,4.696886956132894,-0.4566431499194695,8,0.0,0.0
20251125_1017,2025-11-25T20:24:33.164000,1.17400,R,10351,67.7,6.6,01 55 07.26,+43 46 01.9,58.366828113173035,51.14137994311447,6.350439848131702,5.717731750467314,0.3108281145908247,7.54354007865464,6.619027555720358,0.2633638023741982,3.991849320845152,-0.18517707220354873,8,0.0,0.0
20251125_1018,2025-11-25T20:25:24.895000,1.17214,I,10351,67.8,6.6,01 55 07.26,+43 46 01.9,58.51492082494608,51.0492658380547,5.957281102418318,5.799575761161714,0.9151184671080452,5.806605522412652,5.722175288066172,0.6862814910324788,3.1892506140058314,-0.1210892141428569,18,0.0,0.0
20251125_1019,2025-11-25T20:31:59.864000,1.69005,U,10351,67.4,6.5,02 28 30.41,-08 20 37.0,36.19666927087161,126.54161394988166,7.767457408022377,6.392040296247416,1.2194350329508552e-07,9.999999999998296,8.229256963346412,1.3667551446161497e-06,4.43169715464542,-0.09158266639892801,2,0.0,0.0
20251125_1020,2025-11-25T20:33:04.999000,1.68240,B,10351,67.4,6.5,02 28 30.41,-08 20 37.0,36.388887941917844,126.77569123709395,7.869056408146547,6.123188045744684,0.09700667558290821,8.89243641225325,7.142317830908568,0.20427423456373273,4.999999999981148,-0.6803344324868912,3,0.0,0.0
20251125_1021,2025-11-25T20:33:55.874000,1.67649,V,10351,67.5,6.6,02 28 30.41,-08 20 37.0,36.53861572884136,126.95944028798296,7.587742072453551,6.3602763185023035,0.24707818371040968,9.999999999999998,8.514622771786387,0.22433996913804855,4.161280093669089,-0.42041894232650484,11,0.0,0.0
20251125_1022,2025-11-25T20:34:45.243000,1.67082,R,10415,67.5,6.6,02 28 30.41,-08 20 36.0,36.68376108740147,127.13827941212782,8.651672830375526,6.839734655932567,0.0708811903028268,7.406228704094529,5.764249507068592,0.08429085073560572,4.924621199624671,-1.3370577834144945,4,0.0,0.0
20251125_1023,2025-11-25T20:35:33.264000,1.66537,I,10415,67.5,6.6,02 28 30.41,-08 20 36.0,36.82442406841464,127.31321224109416,9.999999999999996,8.750304532631198,1.1049790468189613,7.68439975896811,6.987152898530967,1.7787191745937854,3.68927806362583,-0.03956456463599341,11,0.0,0.0
