INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20250920_1088,2025-09-20T21:23:08.264000,1.10129,U,10901,57.5,13.0,18 22 39.08,+32 57 42.0,65.2072637539282,287.9733454484224,3.768985026417059,4.890856677158578,0.36463010261753936,9.999999999999998,12.844107950692386,1.8527609016728128,2.0073183041246883,0.05641450642813344,19,0.0,0.0
20250920_1089,2025-09-20T21:24:11.621000,1.10326,B,10901,57.5,13.0,18 22 39.08,+32 57 41.1,64.9855612619911,287.9434588106714,5.992496213445753,4.816028510497882,0.4286808874040213,5.408209986162342,4.5085849844598105,0.9776705458224004,4.999999999700213,-0.015864196063952007,126,-0.31681439404496636,-1.1713345273965496
20250920_1090,2025-09-20T21:24:58.597000,1.10475,V,10901,56.0,13.3,18 22 39.08,+32 57 41.0,64.8211474161568,287.92283341229165,5.523340118782003,4.4693144792869415,0.28558009038613186,6.06639500612388,4.994135602498741,0.5224945524287099,4.868486758563959,0.5120203397728895,198,0.5953088818346296,-0.007106125419253658
20250920_1091,2025-09-20T21:25:43.131000,1.10613,R,10901,56.0,13.3,18 22 40.08,+32 57 41.0,64.66875303897777,287.90466584829664,6.190113958438238,4.880036791679466,0.3695726614007464,5.942238811595812,4.801771613938635,0.5886666128964366,4.999999999924032,0.1535559563240496,235,0.5063192976321079,1.2943836498409511
20250920_1092,2025-09-20T21:26:27.517000,1.10755,I,10901,56.0,13.3,18 22 40.08,+32 57 41.0,64.5133698880563,287.886958270151,4.821339263840291,4.218426507854909,0.4805640995231535,4.738904506119332,4.268314659280466,0.8521061782168973,3.8816324196275658,0.1725551705922351,323,0.0,0.0
20250920_1093,2025-09-20T21:29:18.570000,1.11042,U,10901,56.0,13.3,19 01 00.71,+48 44 36.7,64.20253417507867,328.1255914891381,5.574118127143754,4.964228707713599,0.1518614050368159,9.999999999999995,8.978464079603354,0.37896944271724564,3.775363978107233,0.0986415632489837,25,0.0,0.0
20250920_1094,2025-09-20T21:30:21.180000,1.11156,B,10901,56.0,13.3,19 01 00.71,+48 44 36.7,64.08043293861773,327.84666661783217,5.855819972670245,4.7052569452489745,0.3553016635856734,5.078257219806435,4.202756582601339,0.5799408438691089,4.99999999553884,0.13929420866588965,146,0.1437275964994151,-1.1819731417311123
20250920_1095,2025-09-20T21:31:09.152000,1.11247,V,10901,54.9,13.4,19 00 59.71,+48 44 36.6,63.98430027233346,327.6308186528351,5.735295633025785,4.581038378907983,0.32114942410518665,6.508856426375892,5.159753710868539,0.3762700732478539,4.99999999963634,-0.34474098668210473,179,1.3125329480746732,-0.835445377637665
20250920_1096,2025-09-20T21:31:53.744000,1.11329,R,10901,54.9,13.4,19 01 00.71,+48 44 36.6,63.89821081571994,327.44048219835304,5.0840521595006996,4.24104446965276,0.4626447039027686,4.789450158218417,3.941744080856248,0.7081689321723297,4.999999407289496,0.2276094420238406,313,1.6550621189192172,-0.007885899514101766
20250920_1097,2025-09-20T21:32:37.444000,1.11411,I,10901,54.9,13.4,19 01 00.71,+48 44 36.6,63.811470114707035,327.25130660276886,5.293150854882592,4.166950031416471,0.3067210985814599,5.6611045306580525,4.434892297514639,0.398319520635809,4.9999999999776765,0.19943800174104062,318,0.0,0.0
20250920_1098,2025-09-20T21:39:32.350000,1.40755,U,10901,54.7,13.5,21 19 32.98,-15 06 15.3,45.21336996361682,163.6546815283694,6.169243232380958,5.084739394013273,0.12353179815271798,6.94670418296538,5.523861665796035,0.11761987194822332,4.541500486027305,-0.27012337776536255,7,0.0,0.0
