INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20260213_1171,2026-02-13T21:02:34.361000,1.60978,R,9906,3.1,5.5,08 41 59.98,+03 43 08.1,38.32631219454853,109.51974147325552,7.574675990647842,6.774830702452074,0.6887038939820478,7.507680629621217,7.124122561791333,0.6652014582467132,3.6606865964871003,-0.5722931081957289,79,0.0,0.0
20260213_1172,2026-02-13T21:07:02.394000,1.57786,R,9906,2.8,5.6,08 41 59.98,+03 43 10.2,39.25365955172919,110.32005527127893,9.459922893168386,7.775770761009594,0.7482767352946391,8.199478366297543,6.68507437750988,1.0862066826588395,4.534530967066312,0.08614331763785843,78,0.0,0.0
20260213_1173,2026-02-13T21:07:47.947000,1.57250,R,9906,2.6,5.5,08 41 58.98,+03 43 10.2,39.41417817564787,110.46114539882014,8.728095835130997,7.340996097493546,0.6624132914760299,9.55367294845326,8.037440570248515,0.5908906183672009,4.3475236112718685,-0.47059239155257726,79,0.0,0.0
20260213_1174,2026-02-13T21:08:33.652000,1.56729,R,9875,2.6,5.5,08 41 58.98,+03 43 10.1,39.571618493894974,110.60030205503439,6.883287105792778,6.173264822179365,0.41614541398892513,7.111484304376221,6.313931256883553,0.8591822432020129,3.7356101762963645,-0.18754292887552107,80,0.0,0.0
20260213_1175,2026-02-13T21:09:19.464000,1.56212,R,9875,2.6,5.5,08 41 58.98,+03 43 10.1,39.729298560354145,110.74034673303183,7.6048197452138835,6.7349764694208565,0.2393405555674164,9.999999999999996,8.843167905043735,0.31998580121470965,3.8612288448550247,-0.22397300941085732,97,0.0,0.0
20260213_1176,2026-02-13T21:10:05.096000,1.55713,R,9875,2.6,5.5,08 41 59.98,+03 43 10.1,39.88278165737277,110.87737713779168,7.225702811267048,6.345205715444324,0.3286857653268367,7.648458772950805,6.778767515124197,0.5885839723541677,3.790554929096339,-0.14708751902793898,83,0.0,0.0
20260213_1177,2026-02-13T21:10:50.866000,1.55195,R,9875,2.6,5.5,08 41 58.98,+03 43 11.1,40.043613360517284,111.02125185004292,6.4122899769037245,6.042597878431552,0.3876082771142908,6.456358845880601,6.0566618337884055,0.492111844871606,3.452571445124316,0.09996740474447939,78,0.0,0.0
20260213_1178,2026-02-13T21:11:36.924000,1.54691,R,9875,2.6,5.5,08 41 58.98,+03 43 11.1,40.20169508031949,111.1638688980674,7.083849323001425,6.358319761198809,0.25449123935051343,9.999999999999996,8.908216823948049,0.33362805657905703,3.7695180863733215,-0.3054440885764229,100,0.0,0.0
20260213_1179,2026-02-13T21:12:22.705000,1.54194,R,9875,2.6,5.5,08 41 58.98,+03 43 11.1,40.358674851255174,111.30624490213711,6.354443736327447,5.80064502117616,0.24854753999390322,6.634115304695463,6.012183976148306,0.5228937608497253,3.6797062164495467,0.09177554609331676,86,0.0,0.0
20260213_1180,2026-02-13T21:13:07.870000,1.53719,R,9875,2.6,5.5,08 41 59.98,+03 43 11.1,40.50997403895689,111.44420105998732,6.3253751194922945,5.9249936280171,0.3100431315574079,7.2401959076227635,6.6224035725140515,0.42513880894335454,3.490161961947861,-0.3541746034105749,75,0.0,0.0
20260213_1181,2026-02-13T21:13:52.917000,1.53240,R,9875,2.4,5.7,08 41 59.98,+03 43 09.1,40.66382524522245,111.5860965071003,7.865659363574041,6.4889377959327925,0.4656800737162321,9.508397522022006,7.757816095946048,0.541935570531896,4.582799739939216,0.06588700962121807,82,0.0,0.0
20260213_1182,2026-02-13T21:14:38.029000,1.52753,R,9875,2.4,5.7,08 41 58.98,+03 43 12.1,40.82195259921099,111.73044406832834,6.382978659903925,5.7358913375616085,0.46447933159776866,6.907078095373061,6.033184606483412,0.5877333321596945,3.8426345287965393,-0.24722775737404631,91,0.0,0.0
20260213_1183,2026-02-13T21:15:23.056000,1.52284,R,9875,2.4,5.7,08 41 58.98,+03 43 09.2,40.97528486753041,111.87379336023508,7.593871008835435,6.363611720899448,0.29611810544006456,9.999999999999982,8.221866397060959,0.3929733058652669,4.24528523036282,-0.024528794482753163,78,0.0,0.0
20260213_1184,2026-02-13T21:16:08.263000,1.51815,R,9875,2.4,5.7,08 41 58.98,+03 43 12.1,41.129999707990606,112.01658955093319,6.429798362278781,5.405100247080744,0.4163780083942905,6.87125056757614,5.965047241005603,0.5765898741617583,4.145434818270358,-0.5885357221769619,93,0.0,0.0
20260213_1185,2026-02-13T21:16:53.335000,1.51354,R,9875,2.4,5.7,08 41 58.98,+03 43 10.1,41.28331728951868,112.16106761587744,6.850514916712214,5.970152906506043,0.29826662802252724,7.120319469913293,6.357779309384126,0.5520972464827096,3.9834635734550026,-0.2729231552186644,87,0.0,0.0
20260213_1186,2026-02-13T21:17:38.575000,1.50894,R,9875,2.4,5.7,08 41 58.98,+03 43 10.1,41.43736799648229,112.30611755994272,7.6615864804388565,6.333477489496285,0.26628239198444703,9.999999999984881,7.966685447766127,0.48398817392666427,4.409345687153893,0.0450883581978298,82,0.0,0.0
20260213_1187,2026-02-13T21:18:24.627000,1.50431,R,9875,2.4,5.7,08 41 58.98,+03 43 10.1,41.59401909326605,112.45443542887047,6.29201495160238,5.896954019230407,0.2824835271040653,7.1092317397949305,6.677399074900115,1.0519301027384973,3.4931254354222587,-0.3240029242364355,85,0.0,0.0
20260213_1188,2026-02-13T21:19:10.002000,1.49979,R,9875,2.4,5.7,08 41 58.98,+03 43 10.1,41.74820310589801,112.60123475708589,6.931218004348761,5.759681901780828,0.33151025109412835,8.190016357174144,6.763543888583271,0.5008191875557175,4.257232108054641,-0.2900805761759203,86,0.0,0.0
