INDEX,UTC,AIRMASS,FILTER,TELFOCUS,HUMIDITY,TEMPERATURE,RA,DEC,ALT,AZ,GAMMA_X,FWHM_X,ERR_X,GAMMA_Y,FWHM_Y,ERR_Y,ALPHA,PHI,NSOURCES,DX,DY
20260317_1049,2026-03-17T22:31:51.317000,1.12899,OPEN,9769,55.0,1.7,10 05 24.60,+53 53 49.9,62.309412954202735,19.000867617820347,9.999999999999998,15.328418730817592,6.972787342052758,9.999999999999998,15.328418730817592,3.8299382136421816,1.5000000000000002,-0.0828477267571587,183,0.0,0.0
20260317_1050,2026-03-17T22:33:00.826000,1.12813,OPEN,9769,55.0,1.7,10 05 23.59,+53 53 49.9,62.39315987283126,18.671891989908,9.999999999999998,15.328418730817592,6.5159383101082735,9.999999999999998,15.328418730817592,3.613252413402435,1.5000000000000002,0.10121529411636435,173,-0.08778150146903864,-0.07222465964658113
20260317_1051,2026-03-17T22:34:10.065000,1.12731,OPEN,9769,54.6,1.8,10 05 24.60,+53 53 49.9,62.472861886672,18.351106962447336,9.999999999999998,15.328418730817592,9.055001235051698,9.999999999999998,15.328418730817592,3.307306480193798,1.5000000000000002,-0.018190044317156318,189,-0.14662981186054458,0.039675677648447163
20260317_1052,2026-03-17T22:35:18.943000,1.12650,OPEN,9769,54.6,1.8,10 05 24.60,+53 53 49.9,62.5519523595251,18.024867733781278,9.999999999999998,15.328418730817592,8.01195612695843,9.999999999999998,15.328418730817592,3.397103005138158,1.5000000000000002,-0.046361138792687044,183,-0.0856444477726036,-0.038188228158043784
20260317_1053,2026-03-17T22:36:27.934000,1.12571,OPEN,9819,54.6,1.8,10 05 24.60,+53 53 49.9,62.629792166089494,17.695672961659742,9.999999999999998,15.328418730817592,1.859455174373343,9.999999999999998,15.328418730817592,0.00014330799438688757,1.5000000000000002,-0.2015123124751931,179,-0.14385369762000846,-0.09841844127836885
20260317_1054,2026-03-17T22:37:36.783000,1.12494,OPEN,9819,54.6,1.8,10 05 24.60,+53 53 50.9,62.70583268910066,17.364495518916144,9.999999999999998,15.328418730817592,10.23426901418502,9.999999999999998,15.328418730817592,6.910375043595259,1.5000000000000002,0.10642003248819967,164,-0.06998240212370184,0.271471192955727
20260317_1055,2026-03-17T22:38:45.600000,1.12418,OPEN,9860,54.6,1.8,10 05 24.60,+53 53 47.9,62.78143626856718,17.032171657378505,9.999999999999998,15.328418730817592,10.112430996543814,9.999999999999998,15.328418730817592,7.319494392372709,1.5000000000000002,0.03982473800763096,187,-0.13688468680837831,0.4895090543106781
20260317_1056,2026-03-17T22:39:54.331000,1.12346,OPEN,9860,57.2,1.6,10 05 25.60,+53 53 48.9,62.853491961622105,16.701734732746782,9.999999999999998,15.328418730817592,10.715907499789765,9.999999999999998,15.328418730817592,9.150473743714937,1.5000000000000002,0.07645001042177244,178,-0.18153940990435513,0.5398095161068086
20260317_1057,2026-03-17T22:41:03.097000,1.12273,OPEN,9875,57.2,1.6,10 05 24.60,+53 53 48.9,62.926505211545894,16.359345850832725,9.999999999999998,15.328418730817592,10.200663708250161,9.999999999999998,15.328418730817592,8.773913889572084,1.5000000000000002,0.06549001855173808,175,-0.3173907986049526,0.4917344107903846
20260317_1058,2026-03-17T22:42:11.879000,1.12203,OPEN,9875,57.2,1.6,10 05 24.60,+53 53 48.9,62.99705392610484,16.019465140074583,9.999999999999998,15.328418730817592,9.7654450014088,9.999999999999998,15.328418730817592,9.394451227000264,1.5000000000000002,0.19991507625001176,169,-0.12355512225333587,0.7946530148471175
